Plik;Oryginał (Język Polski);Tłumaczenie (Język Angielski)
index.html;D-Tech Systems | Inteligentne rozwiązania przemysłowe;
index.html;Produkty;
index.html;O marce;
index.html;Kontakt;
index.html;Inteligentne rozwiązania dla przemysłu;
index.html;Nasze produkty;
index.html;Wybierz produkt, aby dowiedzieć się więcej;
index.html;Lampa;
index.html;SOTERIA;
index.html;Sygnalizacja statusu bramy i doku przeładunkowego LED RGB z certyfikatem IP68.;
index.html;IP68;
index.html;LED RGB;
index.html;24 VDC;
index.html;Dowiedz się więcej;
index.html;Radar;
index.html;CAPTURE;
index.html;Radarowy czujnik ruchu Doppler 24 GHz do precyzyjnej detekcji osób i pojazdów przy bramach przemysłowych.;
index.html;IP65;
index.html;24 GHz;
index.html;2–10 m;
index.html;System;
index.html;CHRONOS;
index.html;Zaawansowany system zarządzania procesami logistycznymi dla nowoczesnych obiektów.;
index.html;Wkrótce;
index.html;Zapytaj o produkt;
index.html;MARKA WŁASNA;
index.html;Produkty opracowane na bazie 20 lat doświadczeń Grupy CEZAB w zakresie systemów przeładunkowych, bram oraz automatyki.;
index.html;DOPASOWANE ROZWIĄZANIA;
index.html;Innowacyjna oferta dopasowana do aktualnych potrzeb rynku.;
index.html;PROFESJONALNE WSPARCIE;
index.html;Doradztwo i wsparcie techniczne na każdym etapie – serwis i szkolenia dla instalatorów.;
index.html;Instalacji;
index.html;Lat doświadczenia;
index.html;Polska marka;
index.html;CEZAB Distribution Sp. z o.o.;
index.html;ul. Wrocławska 69;
index.html;63-400 Ostrów Wlkp;
index.html;+48 62 720 54 30;
index.html;biuro@cezab-distribution.pl;
index.html;Wyślij wiadomość;
index.html;Marka własna CEZAB Distribution. Oferujemy innowacyjne produkty dopasowane do aktualnych potrzeb rynku. Gwarantujemy wsparcie techniczne oraz serwis.;
index.html;Lampa Soteria;
index.html;System Chronos;
index.html;Radar Capture;
index.html;"&copy; 2026 D-Tech Systems &middot; CEZAB Distribution Sp. z o.o. &middot; Wszelkie prawa zastrzeżone";
index.html;Ta strona używa plików cookies w celu zapewnienia najlepszej jakości usług. Korzystając ze strony, wyrażasz zgodę na ich użycie zgodnie z naszą polityką prywatności.;
index.html;Akceptuję;
index.html;Odrzuć;
soteria.html;Lampa SOTERIA | D-Tech Systems;
soteria.html;O produkcie;
soteria.html;Zalety;
soteria.html;Specyfikacja;
soteria.html;Galeria;
soteria.html;Kontakt;
soteria.html;← D-Tech;
soteria.html;Sygnalizacja przemysłowa LED RGB;
soteria.html;Lampa;
soteria.html;SOTERIA;
soteria.html;Sygnalizacja statusu bramy lub doku przeładunkowego;
soteria.html;do zastosowań wewnętrznych i zewnętrznych;
soteria.html;Pobierz Kartę PDF;
soteria.html;D-Tech;
soteria.html;Produkty;
soteria.html;Lampa SOTERIA;
soteria.html;01. O produkcie;
soteria.html;Dlaczego;
soteria.html;SOTERIA?;
soteria.html;SOTERIA to zaawansowana lampa sygnalizacyjna LED RGB, która rewolucjonizuje sposób zarządzania bezpieczeństwem przy bramach przemysłowych i dokach przeładunkowych.;
soteria.html;Dzięki trzem kolorom sygnalizacji w jednym urządzeniu, SOTERIA zapewnia jednoznaczną i natychmiastową informację o statusie bramy — eliminując ryzyko błędów i wypadków przy załadunku i rozładunku.;
soteria.html;Polska jakość, przemysłowa trwałość i certyfikat IP68 sprawiają, że SOTERIA sprawdza się zarówno wewnątrz hali, jak i na zewnątrz — przez cały rok.;
soteria.html;Jedna lampa;
soteria.html;trzy kolory;
soteria.html;LED RGB w jednej obudowie — zielony, żółty, czerwony w jednym punkcie;
soteria.html;Zastosowanie;
soteria.html;Uniwersalne;
soteria.html;Do instalacji wewnętrznych i zewnętrznych bez ograniczeń;
soteria.html;Bezpieczne;
soteria.html;napięcie 24VDC;
soteria.html;Bezpieczne zasilanie dopasowane do standardów przemysłowych;
soteria.html;Klasa ochrony;
soteria.html;IP68;
soteria.html;Najwyższy stopień ochrony przed wodą i pyłem;
soteria.html;02. Zastosowanie;
soteria.html;Kluczowe;
soteria.html;Informacja dla użytkownika;
soteria.html;LED RGB;
soteria.html;Możliwość sygnalizowania wielu statusów w jednym doku przeładunkowym. Jasna, jednoznaczna komunikacja wizualna.;
soteria.html;Jednoznaczna informacja;
soteria.html;Prewencyjna;
soteria.html;Ochrona;
soteria.html;Skuteczne zapobieganie uszkodzeniom bramy i doku. Ochrona mienia i ludzi dzięki wyraźnej sygnalizacji wizualnej.;
soteria.html;Trwałość i Uniwersalność;
soteria.html;Gotowa na;
soteria.html;każde warunki;
soteria.html;Zewnętrzna / Wewnętrzna / IP68 / 24 VDC. Zaprojektowana do pracy w najtrudniejszych warunkach przemysłowych.;
soteria.html;03. Specyfikacja;
soteria.html;Dane;
soteria.html;Techniczne;
soteria.html;Wymiary;
soteria.html;23 x 12 x 1000 mm;
soteria.html;Budowa;
soteria.html;Profil aluminiowy wypełniony żywicą poliuretanową;
soteria.html;Źródło światła;
soteria.html;COB CREE LED;
soteria.html;Opcje kolorystyczne;
soteria.html;RGB (Czerwony, Zielony, Niebieski – możliwość uzyskania żółtego poprzez mieszanie barw);
soteria.html;Moc znamionowa;
soteria.html;Max 15 W;
soteria.html;Strumień świetlny;
soteria.html;Czerwony: 115 lm / Zielony: 325 lm / Niebieski: 75 lm;
soteria.html;Zasilanie;
soteria.html;24 VDC;
soteria.html;Przewód zasilający;
soteria.html;LIYY 4x0,5 mm², L-2000 mm;
soteria.html;IP68 (Wewnętrzna / Zewnętrzna);
soteria.html;Żywotność;
soteria.html;50 000 godzin świecenia;
soteria.html;Temperatura pracy;
soteria.html;-30 °C do +40 °C;
soteria.html;Sygnalizacja statusu bram i doków przeładunkowych;
soteria.html;04. Galeria;
soteria.html;Zdjęcia;
soteria.html;Produktu;
soteria.html;05. Kontakt;
soteria.html;Skontaktuj się;
soteria.html;z nami;
soteria.html;Firma;
soteria.html;CEZAB Distribution Sp. z o.o.;
soteria.html;Adres;
soteria.html;ul. Wrocławska 69;
soteria.html;63-400 Ostrów Wlkp.;
soteria.html;Telefon;
soteria.html;+48 62 720 54 30;
soteria.html;Email;
soteria.html;biuro@cezab-distribution.pl;
soteria.html;Zapytaj o SOTERIĘ;
soteria.html;Marka własna CEZAB Distribution. Oferujemy innowacyjne produkty dopasowane do aktualnych potrzeb rynku. Gwarantujemy wsparcie techniczne oraz serwis.;
soteria.html;Lampa Soteria;
soteria.html;System Chronos;
soteria.html;Radar Capture;
soteria.html;63-400 Ostrów Wlkp;
soteria.html;"&copy; 2026 D-Tech Systems &middot; CEZAB Distribution Sp. z o.o. &middot; Wszelkie prawa zastrzeżone";
radar-capture.html;Radar CAPTURE | D-Tech Systems;
radar-capture.html;O produkcie;
radar-capture.html;Zalety;
radar-capture.html;Specyfikacja;
radar-capture.html;Galeria;
radar-capture.html;Kontakt;
radar-capture.html;← D-Tech;
radar-capture.html;Radarowy czujnik ruchu 24 GHz;
radar-capture.html;Radar;
radar-capture.html;CAPTURE;
radar-capture.html;Innowacyjny mikrofalowy detektor ruchu programowany zdalnie za pomocą dedykowanej aplikacji.;
radar-capture.html;Regulowany uchwyt i pole detekcji umożliwiają montaż centralny lub skrajach na wysokości do 10 m.;
radar-capture.html;Pobierz Kartę PDF;
radar-capture.html;D-Tech;
radar-capture.html;Produkty;
radar-capture.html;Radar CAPTURE;
radar-capture.html;01. O produkcie;
radar-capture.html;Dlaczego;
radar-capture.html;CAPTURE?;
radar-capture.html;Wielkie możliwości w atrakcyjnej cenie.;
radar-capture.html;Co go wyróżnia:;
radar-capture.html;programowanie na odległość przez połączenie BT i aplikację CAPTURE SENSORS w wielu językach (również PL);
radar-capture.html;szybka intuicyjna konfiguracja strony montażu oraz pola detekcji w aplikacji (podgląd detekcji w polu widzenia);
radar-capture.html;rozróżnianie pojazdów, ludzi i kierunków poruszania się (możliwe sterowanie niezależne przez dwa wyjścia sterujące);
radar-capture.html;regulowany uchwyt, możliwość montażu centralnego lub skrajnego nad bramą w zakresie wysokości 2-10m;
radar-capture.html;odporność na zakłócenia, wykorzystanie technologii Doppler 24 GHz;
radar-capture.html;uniwersalne zasilanie 12/24V AC/DC;
radar-capture.html;Pobierz w;
radar-capture.html;App Store;
radar-capture.html;Google Play;
radar-capture.html;ZOBACZ JAK TO DZIAŁA;
radar-capture.html;Analiza;
radar-capture.html;kierunku;
radar-capture.html;Możliwość ignorowania detekcji dla ruchu poprzecznego oraz oddalającego;
radar-capture.html;Precyzja;
radar-capture.html;działania;
radar-capture.html;Odporność na zakłócenia i detekcja ruchu obiektów z prędkością od 5 cm/s;
radar-capture.html;Uniwersalne;
radar-capture.html;zastosowanie;
radar-capture.html;Temperatura pracy -30/+60°C, klasa szczelności IP65, wysokość 2-10 m;
radar-capture.html;Dwa kanały;
radar-capture.html;sterujące;
radar-capture.html;Niezależna detekcja: pieszych - otwarcie częściowe i pojazdów - otwarcie pełne;
radar-capture.html;02. Zastosowanie;
radar-capture.html;Kluczowe;
radar-capture.html;NIEZAWODNA DETEKCJA;
radar-capture.html;Dostępna;
radar-capture.html;w każdych warunkach;
radar-capture.html;Wykorzystanie technologii mikrofalowej Doppler 24 GHz gwarantuje odporność na zakłócenia i zmienne warunki pracy.;
radar-capture.html;Temperatura -30/+60°C, kurz i wilgoć IP65;
radar-capture.html;INTELIGENTNE ROZPOZNAWANIE;
radar-capture.html;Rozróżnianie;
radar-capture.html;pojazdów / ludzi;
radar-capture.html;Detektor rozróżnia obiekty i kierunki poruszania. Steruj osobno otwarciem częściowym (piesi) oraz wjazdem pełnym (pojazdy).;
radar-capture.html;Wyłącz detekcję boczną umożliwiając ruch poprzeczny bez zbędnego otwierania bramy.;
radar-capture.html;UNIWERSALNY MONTAŻ;
radar-capture.html;Uchwyt z pełną;
radar-capture.html;regulacją;
radar-capture.html;Wybierz miejsce montażu i ustaw pole detekcji. Centralnie czy na skrajach w zakresie wysokości 2-10 m.;
radar-capture.html;Aplikacja pokaże na żywo pole detekcji i wykrywane obiekty w celu precyzyjnego ustawienia parametrów pracy.;
radar-capture.html;03. Specyfikacja;
radar-capture.html;Dane;
radar-capture.html;Techniczne;
radar-capture.html;Technologia;
radar-capture.html;Radar Doppler mikrofalowy;
radar-capture.html;Częstotliwość;
radar-capture.html;24,150 GHz;
radar-capture.html;Moc emisji;
radar-capture.html;"&lt; 20 dBm EIRP";
radar-capture.html;Pole detekcji;
radar-capture.html;34° × 80°;
radar-capture.html;Min. prędkość detekcji;
radar-capture.html;5 cm/s;
radar-capture.html;Zasilanie;
radar-capture.html;12/24 V AC/DC;
radar-capture.html;Pobór mocy;
radar-capture.html;"&lt; 2 W";
radar-capture.html;Wyjścia;
radar-capture.html;2 wyjścia, konfiguracja NO/NC;
radar-capture.html;Wysokość montażu;
radar-capture.html;2 – 10 m;
radar-capture.html;Kąt nachylenia;
radar-capture.html;Pionowo: 0°–45° · Poziomo: ±30°;
radar-capture.html;Materiał;
radar-capture.html;ADA + poliwęglan;
radar-capture.html;Waga;
radar-capture.html;240 g (bez kabla) / 637 g (z kablem 10 m);
radar-capture.html;Klasa ochrony;
radar-capture.html;IP65;
radar-capture.html;Temp. pracy;
radar-capture.html;-30 °C do +60 °C;
radar-capture.html;Zastosowanie;
radar-capture.html;Bramy segmentowe, przesuwne, szybkobieżne, chłodnicze, składane, pakujące;
radar-capture.html;04. Galeria;
radar-capture.html;Zdjęcia;
radar-capture.html;Produktu;
radar-capture.html;05. Kontakt;
radar-capture.html;Skontaktuj się;
radar-capture.html;z nami;
radar-capture.html;Firma;
radar-capture.html;CEZAB Distribution Sp. z o.o.;
radar-capture.html;Adres;
radar-capture.html;ul. Wrocławska 69;
radar-capture.html;63-400 Ostrów Wlkp.;
radar-capture.html;Telefon;
radar-capture.html;+48 62 720 54 30;
radar-capture.html;Email;
radar-capture.html;biuro@cezab-distribution.pl;
radar-capture.html;Zapytaj o CAPTURE;
radar-capture.html;Marka własna CEZAB Distribution. Oferujemy innowacyjne produkty dopasowane do aktualnych potrzeb rynku. Gwarantujemy wsparcie techniczne oraz serwis.;
radar-capture.html;Lampa Soteria;
radar-capture.html;System Chronos;
radar-capture.html;Radar Capture;
radar-capture.html;63-400 Ostrów Wlkp;
radar-capture.html;"&copy; 2026 D-Tech Systems &middot; CEZAB Distribution Sp. z o.o. &middot; Wszelkie prawa zastrzeżone";
chronos.html;Centrala integracyjna CHRONOS | D-Tech Systems;
chronos.html;Wróć na stronę główną;
chronos.html;System Logistyczny;
chronos.html;CHRONOS;
chronos.html;Zaawansowany system zarządzania procesami logistycznymi.;
chronos.html;Trwają ostatnie testy.;
chronos.html;Premiera wkrótce;
chronos.html;Bądź z nami w kontakcie;
chronos.html;Marka własna CEZAB Distribution. Oferujemy innowacyjne produkty dopasowane do aktualnych potrzeb rynku. Gwarantujemy wsparcie techniczne oraz serwis.;
chronos.html;Produkty;
chronos.html;Lampa Soteria;
chronos.html;System Chronos;
chronos.html;Radar Capture;
chronos.html;Kontakt;
chronos.html;ul. Wrocławska 69;
chronos.html;63-400 Ostrów Wlkp;
chronos.html;+48 62 720 54 30;
chronos.html;biuro@cezab-distribution.pl;
chronos.html;"&copy; 2026 D-Tech Systems &middot; CEZAB Distribution Sp. z o.o. &middot; Wszelkie prawa zastrzeżone";
